symbol;name;short_name;sector;industry
A;Agilent Technologies Inc. Common Stock;Agilent Technologies;Industrials;Electrical Products
AA;Alcoa Corporation Common Stock ;Alcoa Corporation;Industrials;Metal Fabrications
AAC;Ares Acquisition Corporation Class A Ordinary Shares;Ares Acquisition;Industrials;Metal Fabrications
AACG;ATA Creativity Global American Depositary Shares;ATA Creativity Global;Consumer Discretionary;Service to the Health Industry
AACI;Armada Acquisition Corp. I Common Stock;Armada Acquisition I;Industrials;Consumer Electronics/Appliances
AACIU;Armada Acquisition Corp. I Unit;Armada Acquisition I Unit;Industrials;Consumer Electronics/Appliances
AACIW;Armada Acquisition Corp. I Warrant;Armada Acquisition I Warrant;Industrials;Consumer Electronics/Appliances
AADI;Aadi Bioscience Inc. Common Stock;Aadi Bioscience;Health Care;Biotechnology: Pharmaceutical Preparations
AAIC;Arlington Asset Investment Corp Class A (new);Arlington Asset Investment;Real Estate;Real Estate Investment Trusts
AAIN;Arlington Asset Investment Corp 6.000% Senior Notes Due 2026;Arlington Asset Investment;Finance;Finance/Investors Services
AAL;American Airlines Group Inc. Common Stock;American Airlines;Consumer Discretionary;Air Freight/Delivery Services
AAMC;Altisource Asset Management Corp Com;Altisource Asset Management;Finance;Investment Managers
AAME;Atlantic American Corporation Common Stock;Atlantic American;Finance;Life Insurance
AAN;Aarons Holdings Company Inc. Common Stock ;Aarons Holdings;Consumer Discretionary;Diversified Commercial Services
AAOI;Applied Optoelectronics Inc. Common Stock;Applied Optoelectronics;Technology;Radio And Television Broadcasting And Communications Equipment
AAON;AAON Inc. Common Stock;AAON;Industrials;Industrial Machinery/Components
AAP;Advance Auto Parts Inc.;Advance Auto Parts;Consumer Discretionary;Auto & Home Supply Stores
AAPL;Apple Inc. Common Stock;Apple;Technology;Computer Manufacturing
AAT;American Assets Trust Inc. Common Stock;American Assets Trust;Real Estate;Real Estate Investment Trusts
AAU;Almaden Minerals Ltd. Common Shares;Almaden Minerals;;
AB;AllianceBernstein Holding L.P.  Units;AllianceBernstein Holding;Finance;Investment Managers
ABB;ABB Ltd Common Stock;ABB;Energy;Electrical Products
ABBV;AbbVie Inc. Common Stock;AbbVie;Health Care;Other Pharmaceuticals
ABC;AmerisourceBergen Corporation Common Stock;AmerisourceBergen;Health Care;Other Pharmaceuticals
ABCB;Ameris Bancorp Common Stock;Ameris Bancorp;Finance;Major Banks
ABCL;AbCellera Biologics Inc. Common Shares;AbCellera Biologics;Health Care;Pharmaceuticals and Biotechnology
ABCM;Abcam plc American Depositary Shares;Abcam;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ABEO;Abeona Therapeutics Inc. Common Stock;Abeona Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);Ambev;Consumer Staples;Beverages (Production/Distribution)
ABG;Asbury Automotive Group Inc Common Stock;Asbury Automotive;Consumer Discretionary;Other Specialty Stores
ABIO;ARCA biopharma Inc. Common Stock;ARCA biopharma;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM;ABM Industries Incorporated Common Stock;ABM Industries;Consumer Discretionary;Diversified Commercial Services
ABNB;Airbnb Inc. Class A Common Stock;Airbnb;Consumer Discretionary;Hotels/Resorts
ABOS;Acumen Pharmaceuticals Inc. Common Stock;Acumen Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ABR;Arbor Realty Trust Common Stock;Arbor Realty Trust;Real Estate;Real Estate Investment Trusts
ABSI;Absci Corporation Common Stock;Absci Corporation;Health Care;Biotechnology: Pharmaceutical Preparations
ABST;Absolute Software Corporation Common Stock;Absolute Software;;
ABT;Abbott Laboratories Common Stock;Abbott Laboratories;Health Care;Medical/Dental Instruments
ABUS;Arbutus Biopharma Corporation Common Stock;Arbutus Biopharma;Health Care;Pharmaceuticals and Biotechnology
ABVC;ABVC BioPharma Inc. Common Stock;ABVC BioPharma;Health Care;Biotechnology: Pharmaceutical Preparations
AC;Associated Capital Group Inc. Common Stock;Associated Capital;;
ACA;Arcosa Inc. Common Stock ;Arcosa;Industrials;Oilfield Services/Equipment
ACAB;Atlantic Coastal Acquisition Corp. II Class A Common Stock;Atlantic Coastal Acquisition II;Industrials;Consumer Electronics/Appliances
ACABW;Atlantic Coastal Acquisition Corp. II Warrant;Atlantic Coastal Acquisition II Warrant;Industrials;Consumer Electronics/Appliances
ACACU;Acri Capital Acquisition Corporation Unit;Acri Capital Acquisition Unit;Industrials;Consumer Electronics/Appliances
ACACW;Acri Capital Acquisition Corporation Warrant;Acri Capital Acquisition Warrant;Industrials;Consumer Electronics/Appliances
ACAD;ACADIA Pharmaceuticals Inc. Common Stock;ACADIA Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ACAH;Atlantic Coastal Acquisition Corp. Class A Common Stock;Atlantic Coastal Acquisition;Industrials;Consumer Electronics/Appliances
ACAHU;Atlantic Coastal Acquisition Corp. Unit;Atlantic Coastal Acquisition Unit;Industrials;Consumer Electronics/Appliances
ACAHW;Atlantic Coastal Acquisition Corp. Warrant;Atlantic Coastal Acquisition Warrant;Industrials;Consumer Electronics/Appliances
ACAQ;Athena Consumer Acquisition Corp. Class A Common Stock;Athena Consumer Acquisition;Industrials;Consumer Electronics/Appliances
ACAX;Alset Capital Acquisition Corp. Class A Common Stock;Alset Capital Acquisition;Industrials;Consumer Electronics/Appliances
ACAXR;Alset Capital Acquisition Corp. Right;Alset Capital Acquisition Right;Industrials;Consumer Electronics/Appliances
ACAXU;Alset Capital Acquisition Corp. Unit;Alset Capital Acquisition Unit;Industrials;Consumer Electronics/Appliances
ACAXW;Alset Capital Acquisition Corp. Warrant;Alset Capital Acquisition Warrant;Industrials;Consumer Electronics/Appliances
ACB;Aurora Cannabis Inc. Common Shares;Aurora Cannabis;Health Care;Pharmaceuticals and Biotechnology
ACBA;Ace Global Business Acquisition Limited Ordinary Shares;Ace Global Business Acquisition;Consumer Discretionary;Business Services
ACBAU;Ace Global Business Acquisition Limited Unit;Ace Global Business Acquisition Unit;Consumer Discretionary;Catalog/Specialty Distribution
ACBAW;Ace Global Business Acquisition Limited Warrant;Ace Global Business Acquisition Warrant;Consumer Discretionary;Catalog/Specialty Distribution
ACCD;Accolade Inc. Common Stock;Accolade;Technology;Interactive Media
ACCO;Acco Brands Corporation Common Stock;Acco Brands;Consumer Discretionary;Advertising
ACDC;ProFrac Holding Corp. Class A Common Stock;ProFrac Holding;Industrials;Metal Fabrications
ACDCW;ProFrac Holding Corp. Warrant;ProFrac Holding Warrant;Industrials;Metal Fabrications
ACEL;Accel Entertainment Inc. ;Accel Entertainment;Consumer Discretionary;Recreational Games/Products/Toys
ACER;Acer Therapeutics Inc. Common Stock (DE);Acer Therapeutics;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ACET;Adicet Bio Inc. Common Stock ;Adicet Bio;Health Care;Biotechnology: Pharmaceutical Preparations
ACGL;Arch Capital Group Ltd. Common Stock;Arch Capital;Finance;Property-Casualty Insurers
ACGLN;Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G;Arch Capital;Finance;Property-Casualty Insurers
ACGLO;Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F;Arch Capital;Finance;Property-Casualty Insurers
ACGN;Aceragen Inc. Common Stock;Aceragen;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ACHC;Acadia Healthcare Company Inc. Common Stock;Acadia Healthcare;Health Care;Hospital/Nursing Management
ACHL;Achilles Therapeutics plc American Depositary Shares;Achilles Therapeutics;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ACHR;Archer Aviation Inc. Class A Common Stock;Archer Aviation;Industrials;Aerospace
ACHV;Achieve Life Sciences Inc. Common Shares;Achieve Life Sciences;Health Care;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI;Albertsons Companies Inc. Class A Common Stock;Albertsons Companies;Consumer Staples;Food Chains
ACIU;AC Immune SA Common Stock;AC Immune;Health Care;Biotechnology: Pharmaceutical Preparations
ACIW;ACI Worldwide Inc. Common Stock;ACI Worldwide;Technology;EDP Services
ACLS;Axcelis Technologies Inc. Common Stock;Axcelis Technologies;Technology;Industrial Machinery/Components
ACLX;Arcellx Inc. Common Stock;Arcellx;Health Care;Biotechnology: Pharmaceutical Preparations
ACM;AECOM Common Stock;AECOM;Consumer Discretionary;Military/Government/Technical
ACMR;ACM Research Inc. Class A Common Stock;ACM Research;Technology;Industrial Machinery/Components
ACN;Accenture plc Class A Ordinary Shares (Ireland);Accenture;Technology;EDP Services
ACNB;ACNB Corporation Common Stock;ACNB Corporation;Finance;Major Banks
ACNT;Ascent Industries Co. Common Stock;Ascent Industries;Industrials;Steel/Iron Ore
ACON;Aclarion Inc. Common Stock;Aclarion;Technology;Retail: Computer Software & Peripheral Equipment
ACONW;Aclarion Inc. Warrant;Aclarion Warrant;Technology;Retail: Computer Software & Peripheral Equipment
ACOR;Acorda Therapeutics Inc. Common Stock;Acorda Therapeutics;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ACP;abrdn Income Credit Strategies Fund Common Shares;abrdn Income Credit Strategies;Finance;Investment Managers
ACR;ACRES Commercial Realty Corp. Common Stock;ACRES Commercial Realty;Real Estate;Real Estate Investment Trusts
ACRE;Ares Commercial Real Estate Corporation Common Stock;Ares Commercial Real Estate;Real Estate;Real Estate Investment Trusts
ACRO;Acropolis Infrastructure Acquisition Corp. Class A Common Stock;Acropolis Infrastructure Acquisition;Industrials;Consumer Electronics/Appliances
ACRS;Aclaris Therapeutics Inc. Common Stock;Aclaris Therapeutics;Health Care;Biotechnology: Commercial Physical & Biological Resarch
ACRV;Acrivon Therapeutics Inc. Common Stock;Acrivon Therapeutics;Health Care; Medicinal Chemicals and Botanical Products
ACRX;AcelRx Pharmaceuticals Inc. Common Stock;AcelRx Pharmaceuticals;Health Care; Medicinal Chemicals and Botanical Products
ACST;Acasti Pharma Inc. Class A Common Stock;Acasti Pharma;Health Care;Pharmaceuticals and Biotechnology
ACT;Enact Holdings Inc. Common Stock;Enact Holdings;Finance;Specialty Insurers
ACTG;Acacia Research Corporation (Acacia Tech) Common Stock;Acacia Research;Miscellaneous;Office Equipment/Supplies/Services
ACU;Acme United Corporation. Common Stock;Acme United;Consumer Discretionary;Home Furnishings
ACV;Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest;Virtus Diversified Income & Convertible;Finance;Finance/Investors Services
ACVA;ACV Auctions Inc. Class A Common Stock;ACV Auctions;Industrials;Metal Fabrications
ACXP;Acurx Pharmaceuticals Inc. Common Stock;Acurx Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ADAG;Adagene Inc. American Depositary Shares;Adagene;Health Care;Biotechnology: Pharmaceutical Preparations
ADAL;Anthemis Digital Acquisitions I Corp Class A Ordinary Shares;Anthemis Digital Acquisitions I;Finance;Blank Checks
ADALU;Anthemis Digital Acquisitions I Corp Unit;Anthemis Digital Acquisitions I Unit;Finance;Blank Checks
ADALW;Anthemis Digital Acquisitions I Corp Warrant;Anthemis Digital Acquisitions I Warrant;Finance;Blank Checks
ADAP;Adaptimmune Therapeutics plc American Depositary Shares;Adaptimmune Therapeutics;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADBE;Adobe Inc. Common Stock;Adobe;Technology;Computer Software: Prepackaged Software
ADC;Agree Realty Corporation Common Stock;Agree Realty;Real Estate;Real Estate Investment Trusts
ADCT;ADC Therapeutics SA Common Shares;ADC Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
ADD;Color Star Technology Co. Ltd. Ordinary Shares;Color Star Technology;;
ADEA;Adeia Inc. Common Stock;Adeia;Technology;EDP Services
ADER;26 Capital Acquisition Corp. Class A Common Stock;26 Capital Acquisition;Industrials;Consumer Electronics/Appliances
ADERU;26 Capital Acquisition Corp. Unit;26 Capital Acquisition Unit;Industrials;Consumer Electronics/Appliances
ADERW;26 Capital Acquisition Corp. Warrant;26 Capital Acquisition Warrant;Industrials;Consumer Electronics/Appliances
ADES;Advanced Emissions Solutions Inc. Common Stock;Advanced Emissions Solutions;Industrials;Industrial Specialties
ADEX;Adit EdTech Acquisition Corp. Common Stock;Adit EdTech Acquisition;Industrials;Consumer Electronics/Appliances
ADI;Analog Devices Inc. Common Stock;Analog Devices;Technology;Semiconductors
ADIL;Adial Pharmaceuticals Inc Common Stock;Adial Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ADILW;Adial Pharmaceuticals Inc Warrant;Adial Pharmaceuticals Warrant;Health Care;Biotechnology: Pharmaceutical Preparations
ADM;Archer-Daniels-Midland Company Common Stock;Archer-Daniels-Midland;;
ADMA;ADMA Biologics Inc Common Stock;ADMA Biologics;Health Care;Biotechnology: Pharmaceutical Preparations
ADMP;Adamis Pharmaceuticals Corporation Common Stock;Adamis Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
ADN;Advent Technologies Holdings Inc. Class A Common Stock;Advent Technologies Holdings;Utilities;Power Generation
ADNT;Adient plc Ordinary Shares ;Adient;Consumer Discretionary;Auto Parts:O.E.M.
ADNWW;Advent Technologies Holdings Inc. Warrant;Advent Technologies Holdings Warrant;Utilities;Power Generation
ADOC;Edoc Acquisition Corp. Class A Ordinary Share;Edoc Acquisition;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR;Edoc Acquisition Corp. Right;Edoc Acquisition Right;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADOCW;Edoc Acquisition Corp. Warrant;Edoc Acquisition Warrant;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADP;Automatic Data Processing Inc. Common Stock;Automatic Data Processing;Consumer Discretionary;Business Services
ADPT;Adaptive Biotechnologies Corporation Common Stock;Adaptive Biotechnologies;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
ADRT;Ault Disruptive Technologies Corporation Common Stock;Ault Disruptive Technologies;Industrials;Consumer Electronics/Appliances
ADSE;ADS-TEC ENERGY PLC Ordinary Shares;ADS-TEC ENERGY;Consumer Discretionary;Industrial Specialties
ADSEW;ADS-TEC ENERGY PLC Warrant;ADS-TEC ENERGY Warrant;Consumer Discretionary;Industrial Specialties
ADSK;Autodesk Inc. Common Stock;Autodesk;Technology;Computer Software: Prepackaged Software
ADT;ADT Inc. Common Stock;ADT;Consumer Discretionary;Diversified Commercial Services
ADTH;AdTheorent Holding Company Inc. Common Stock;AdTheorent Holding;Consumer Discretionary;Advertising
ADTHW;AdTheorent Holding Company Inc. Warrants;AdTheorent Holding Warrants;Consumer Discretionary;Advertising
ADTN;ADTRAN Holdings Inc. Common Stock;ADTRAN Holdings;Telecommunications;Telecommunications Equipment
ADTX;Aditxt Inc. Common Stock;Aditxt;Health Care; Medicinal Chemicals and Botanical Products
ADUS;Addus HomeCare Corporation Common Stock;Addus HomeCare;Health Care;Medical/Nursing Services
ADV;Advantage Solutions Inc. Class A Common Stock;Advantage Solutions;Consumer Discretionary;Advertising
ADVM;Adverum Biotechnologies Inc. Common Stock;Adverum Biotechnologies;Health Care;Biotechnology: Pharmaceutical Preparations
ADVWW;Advantage Solutions Inc. Warrant;Advantage Solutions Warrant;Consumer Discretionary;Advertising
ADX;Adams Diversified Equity Fund Inc.;Adams Diversified Equity;Finance;Investment Managers
ADXN;Addex Therapeutics Ltd American Depositary Shares;Addex Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
AE;Adams Resources & Energy Inc. Common Stock;Adams Resources & Energy;Energy;Oilfield Services/Equipment
AEAE;AltEnergy Acquisition Corp. Class A Common Stock;AltEnergy Acquisition;Industrials;Consumer Electronics/Appliances
AEAEU;AltEnergy Acquisition Corp. Unit;AltEnergy Acquisition Unit;Industrials;Consumer Electronics/Appliances
AEAEW;AltEnergy Acquisition Corp. Warrant;AltEnergy Acquisition Warrant;Industrials;Consumer Electronics/Appliances
AEE;Ameren Corporation Common Stock;Ameren;Utilities;Power Generation
AEF;abrdn Emerging Markets Equity Income Fund Inc. Common Stock;abrdn Emerging Markets;Finance;Finance/Investors Services
AEFC;Aegon Funding Company LLC 5.10% Subordinated Notes due 2049;Aegon Funding;;
AEG;AEGON N.V. Common Stock;AEGON;Finance;Life Insurance
AEHL;Antelope Enterprise Holdings Limited Class A Ordinary Shares;Antelope Enterprise;Consumer Discretionary;Building Products
AEHR;Aehr Test Systems Common Stock;Aehr Test Systems;Industrials;Electrical Products
AEI;Alset Inc. Common Stock (TX);Alset;Real Estate;Building operators
AEIS;Advanced Energy Industries Inc. Common Stock;Advanced Energy Industries;Consumer Discretionary;Electrical Products
AEL;American Equity Investment Life Holding Company Common Stock;American Equity Investment;Finance;Life Insurance
AEM;Agnico Eagle Mines Limited Common Stock;Agnico Eagle Mines;;
AEMD;Aethlon Medical Inc. Common Stock;Aethlon Medical;Miscellaneous;Diversified Commercial Services
AENZ;Aenza S.A.A. American Depositary Shares;Aenza;Industrials;Engineering & Construction
AEO;American Eagle Outfitters Inc. Common Stock;American Eagle Outfitters;Consumer Discretionary;Clothing/Shoe/Accessory Stores
AEP;American Electric Power Company Inc. Common Stock;American Electric Power;Utilities;Electric Utilities: Central
AEPPZ;American Electric Power Company Inc. Corporate Units;American Electric Power;Utilities;Electric Utilities: Central
AER;AerCap Holdings N.V. Ordinary Shares;AerCap Holdings;Consumer Discretionary;Diversified Commercial Services
AES;The AES Corporation Common Stock;The AES Corporation;Utilities;Electric Utilities: Central
AESC;The AES Corporation Corporate Units;The AES Corporation;Utilities;Electric Utilities: Central
AESI;Atlas Energy Solutions Inc. Class A Common Stock;Atlas Energy Solutions;Industrials;Metal Fabrications
AEVA;Aeva Technologies Inc. Common Stock;Aeva Technologies;Consumer Discretionary;Auto Parts:O.E.M.
AEY;ADDvantage Technologies Group Inc. Common Stock;ADDvantage Technologies;Consumer Discretionary;Durable Goods
AEYE;AudioEye Inc. Common Stock;AudioEye;Technology;EDP Services
AEZS;Aeterna Zentaris Inc. Common Stock;Aeterna Zentaris;Health Care;Pharmaceuticals and Biotechnology
AFAR;Aura FAT Projects Acquisition Corp Class A Ordinary Shares;Aura FAT Projects;Finance;Blank Checks
AFARU;Aura FAT Projects Acquisition Corp Unit;Aura FAT Projects;Finance;Blank Checks
AFARW;Aura FAT Projects Acquisition Corp Warrant;Aura FAT Projects;Finance;Blank Checks
AFB;AllianceBernstein National Municipal Income Fund Inc;AllianceBernstein National;Finance;Trusts Except Educational Religious and Charitable
AFBI;Affinity Bancshares Inc. Common Stock (MD);Affinity Bancshares;Finance;Major Banks
AFCG;AFC Gamma Inc. Common Stock;AFC Gamma;Real Estate;Real Estate Investment Trusts
AFG;American Financial Group Inc. Common Stock;American Financial;Finance;Property-Casualty Insurers
AFGB;American Financial Group Inc. 5.875% Subordinated Debentures due 2059;American Financial;Finance;Property-Casualty Insurers
AFGC;American Financial Group Inc. 5.125% Subordinated Debentures due 2059;American Financial;Finance;Real Estate
AFGD;American Financial Group Inc. 5.625% Subordinated Debentures due 2060;American Financial;;
AFGE;American Financial Group Inc. 4.500% Subordinated Debentures due 2060;American Financial;;
AFIB;Acutus Medical Inc. Common Stock;Acutus Medical;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL;AFLAC Incorporated Common Stock;AFLAC;Finance;Accident &Health Insurance
AFMD;Affimed N.V.;Affimed;Health Care;Biotechnology: Pharmaceutical Preparations
AFRI;Forafric Global PLC Ordinary Shares;Forafric Global;Consumer Staples;Farming/Seeds/Milling
AFRIW;Forafric Global PLC Warrants;Forafric Global;Consumer Staples;Farming/Seeds/Milling
AFRM;Affirm Holdings Inc. Class A Common Stock;Affirm Holdings;Technology;EDP Services
AFT;Apollo Senior Floating Rate Fund Inc. Common Stock;Apollo Senior Floating;Finance;Investment Managers
AFTR;AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares;AfterNext HealthTech;Finance;Blank Checks
AFYA;Afya Limited Class A Common Shares;Afya Limited;Real Estate;Other Consumer Services
AG;First Majestic Silver Corp. Ordinary Shares (Canada);First Majestic Silver;;
AGAC;African Gold Acquisition Corporation Class A Ordinary Shares;African Gold Acquisition;Finance;Blank Checks
AGAE;Allied Gaming & Entertainment Inc. Common Stock;Allied Gaming & Entertainment;Telecommunications;Cable & Other Pay Television Services
AGBA;AGBA Group Holding Limited Ordinary Share;AGBA Holding;Finance;Investment Managers
AGBAW;AGBA Group Holding Limited Warrant;AGBA Holding;Finance;Investment Managers
AGCO;AGCO Corporation Common Stock;AGCO Corporation;Industrials;Industrial Machinery/Components
AGD;abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest;abrdn Global Dynamic;Finance;Trusts Except Educational Religious and Charitable
AGE;AgeX Therapeutics Inc. Common Stock;AgeX Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
AGEN;Agenus Inc. Common Stock;Agenus;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AGFY;Agrify Corporation Common Stock;Agrify Corporation;Consumer Discretionary;Military/Government/Technical
AGI;Alamos Gold Inc. Class A Common Shares;Alamos Gold;;
AGIL;AgileThought Inc. Class A Common Stock;AgileThought;Technology;EDP Services
AGILW;AgileThought Inc. Warrant;AgileThought;Technology;EDP Services
AGIO;Agios Pharmaceuticals Inc. Common Stock;Agios Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
AGL;agilon health inc. Common Stock;agilon health;Health Care;Managed Health Care
AGLE;Aeglea BioTherapeutics Inc. Common Stock;Aeglea BioTherapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
AGM;Federal Agricultural Mortgage Corporation Common Stock;Federal Agricultural Mortgage;Finance;Finance Companies
AGMH;AGM Group Holdings Inc. Class A Ordinary Shares;AGM Holdings;Technology;EDP Services
AGNC;AGNC Investment Corp. Common Stock;AGNC Investment;Real Estate;Real Estate Investment Trusts
AGNCL;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock;AGNC Investment;Real Estate;Real Estate Investment Trusts
AGNCM;AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock;AGNC Investment;Real Estate;Real Estate Investment Trusts
AGNCN;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock;AGNC Investment;Real Estate;Real Estate Investment Trusts
AGNCO;AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock;AGNC Investment;Real Estate;Real Estate Investment Trusts
AGNCP;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;AGNC Investment;Real Estate;Real Estate Investment Trusts
AGO;Assured Guaranty Ltd. Common Stock;Assured Guaranty;Finance;Property-Casualty Insurers
AGR;Avangrid Inc. Common Stock;Avangrid;Utilities;Electric Utilities: Central
AGRI;AgriFORCE  Growing Systems Ltd. Common Shares;AgriFORCE;;
AGRIW;AgriFORCE  Growing Systems Ltd. Warrant;AgriFORCE;;
AGRO;Adecoagro S.A. Common Shares;Adecoagro;Consumer Staples;Farming/Seeds/Milling
AGRX;Agile Therapeutics Inc. Common Stock;Agile Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
AGS;PlayAGS Inc. Common Stock;PlayAGS;Consumer Discretionary;Recreational Games/Products/Toys
AGTI;Agiliti Inc. Common Stock;Agiliti;Health Care;Managed Health Care
AGX;Argan Inc. Common Stock;Argan;Industrials;Oilfield Services/Equipment
AGYS;Agilysys Inc. Common Stock (DE);Agilysys;Technology;Computer Software: Prepackaged Software
AHCO;AdaptHealth Corp. Common Stock;AdaptHealth;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG;Akso Health Group ADS;Akso Health;Finance;Finance: Consumer Services
AHH;Armada Hoffler Properties Inc. Common Stock;Armada Hoffler Properties;Real Estate;Real Estate Investment Trusts
AHI;Advanced Health Intelligence Ltd. American Depositary Shares;Advanced Health Intelligence;Consumer Discretionary;Package Goods/Cosmetics
AHRN;Ahren Acquisition Corp. Class A Ordinary Shares;Ahren Acquisition;Consumer Staples;Farming/Seeds/Milling
AHRNU;Ahren Acquisition Corp. Unit;Ahren Acquisition;Consumer Staples;Farming/Seeds/Milling
AHRNW;Ahren Acquisition Corp. Warrants;Ahren Acquisition;Consumer Staples;Farming/Seeds/Milling
AHT;Ashford Hospitality Trust Inc Common Stock;Ashford Hospitality Trust;Real Estate;Real Estate Investment Trusts
AI;C3.ai Inc. Class A Common Stock;C3 ai;Technology;Computer Software: Prepackaged Software
AI;C3.ai Inc. Class A Common Stock;C3\.ai;Technology;Computer Software: Prepackaged Software
AIB;AIB Acquisition Corporation Class A Ordinary Shares;AIB Acquisition;Finance;Blank Checks
AIC;Arlington Asset Investment Corp 6.750% Notes due 2025;Arlington Asset Investment;Real Estate;Real Estate Investment Trusts
AIF;Apollo Tactical Income Fund Inc. Common Stock;Apollo Tactical Income;Finance;Finance Companies
AIG;American International Group Inc. New Common Stock;American International;Finance;Life Insurance
AIH;Aesthetic Medical International Holdings Group Ltd. American Depositary Shares;Aesthetic Medical International;Health Care;Medical Specialities
AIHS;Senmiao Technology Limited Common Stock;Senmiao Technology;Finance;Finance: Consumer Services
AIM;AIM ImmunoTech Inc. Common Stock;AIM ImmunoTech;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
AIMAW;Aimfinity Investment Corp. I Warrant;Aimfinity Investment;Finance;Blank Checks
AIMBU;Aimfinity Investment Corp. I Subunit;Aimfinity Investment;Finance;Blank Checks
AIMD;Ainos Inc. Common Stock;Ainos;Health Care;Biotechnology: Pharmaceutical Preparations
AIMDW;Ainos Inc. Warrants;Ainos;Health Care;Biotechnology: Pharmaceutical Preparations
AIN;Albany International Corporation Common Stock;Albany International;Consumer Discretionary;Textiles
AINC;Ashford Inc. (Holding Company) Common Stock;Ashford;Finance;Investment Managers
AIO;Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest;Virtus Artificial Intelligence;Finance;Finance/Investors Services
AIP;Arteris Inc. Common Stock;Arteris;Technology;Semiconductors
AIR;AAR Corp. Common Stock;AAR Corp;Industrials;Aerospace
AIRC;Apartment Income REIT Corp. Common Stock;Apartment Income REIT;Real Estate;Real Estate Investment Trusts
AIRG;Airgain Inc. Common Stock;Airgain;Technology;Radio And Television Broadcasting And Communications Equipment
AIRI;Air Industries Group Common Stock;Air Industries;Industrials;Military/Government/Technical
AIRS;AirSculpt Technologies Inc. Common Stock;AirSculpt Technologies;Health Care;Hospital/Nursing Management
AIRT;Air T Inc. Common Stock;Air T;Consumer Discretionary;Air Freight/Delivery Services
AIRTP;Air T Inc. Air T Funding Alpha Income Trust Preferred Securities;Air T Funding;Consumer Discretionary;Air Freight/Delivery Services
AIT;Applied Industrial Technologies Inc. Common Stock;Applied Industrial Technologies;Industrials;Industrial Machinery/Components
AIU;Meta Data Limited ADS;Meta Data;Consumer Discretionary;Service to the Health Industry
AIV;Apartment Investment and Management Company Common Stock;Apartment Investment;Real Estate;Real Estate Investment Trusts
AIXI;XIAO-I Corporation American Depositary Shares;XIAO-I Corporation;Technology;Computer Software: Prepackaged Software
AIZ;Assurant Inc. Common Stock;Assurant;Finance;Specialty Insurers
AIZN;Assurant Inc. 5.25% Subordinated Notes due 2061;Assurant;Finance;Property-Casualty Insurers
AJG;Arthur J. Gallagher & Co. Common Stock;Arthur Gallagher;Finance;Specialty Insurers
