symbol;name;short_name;sector;industry
SHW;Sherwin-Williams Company (The) Common Stock;Sherwin-Williams;Consumer Discretionary;Paints/Coatings
SHYF;The Shyft Group Inc. Common Stock;The Shyft;Consumer Discretionary;Auto Manufacturing
SI;Silvergate Capital Corporation Class A Common Stock;Silvergate Capital;;
SIBN;SI-BONE Inc. Common Stock;SI-BONE;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus
SID;Companhia Siderurgica Nacional S.A. Common Stock;Companhia Siderurgica;Industrials;Steel/Iron Ore
SIDU;Sidus Space Inc. Class A Common Stock;Sidus Space;;
SIEB;Siebert Financial Corp. Common Stock;Siebert Financial;Finance;Investment Bankers/Brokers/Service
SIEN;Sientra Inc. Common Stock;Sientra;Health Care;Medical Electronics
SIF;SIFCO Industries Inc. Common Stock;SIFCO Industries;Industrials;Office Equipment/Supplies/Services
SIFY;Sify Technologies Limited American Depositary Shares;Sify Technologies;Consumer Discretionary;Telecommunications Equipment
SIG;Signet Jewelers Limited Common Shares;Signet Jewelers;Consumer Discretionary;Consumer Specialties
SIGA;SIGA Technologies Inc. Common Stock;SIGA Technologies;Health Care;Biotechnology: Pharmaceutical Preparations
SIGI;Selective Insurance Group Inc. Common Stock;Selective Insurance;Finance;Property-Casualty Insurers
SIGIP;Selective Insurance Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.60% Non-Cumulative Preferred Stock Series B;Selective Insurance Warrant;Finance;Property-Casualty Insurers
SII;Sprott Inc. Common Shares;Sprott;;
SILC;Silicom Ltd Ordinary Shares;Silicom;Technology;Computer Manufacturing
SILK;Silk Road Medical Inc. Common Stock;Silk Road Medical;Health Care;Medical/Dental Instruments
SILO;Silo Pharma Inc. Common Stock;Silo Pharma;Health Care;Biotechnology: Commercial Physical & Biological Resarch
SILV;SilverCrest Metals Inc. Common Shares;SilverCrest Metals;Industrials;Industrial Machinery/Components
SIM;Grupo Simec S.A.B. de C.V. American Depositary Shares;Grupo Simec;Industrials;Aluminum
SIMO;Silicon Motion Technology Corporation American Depositary Shares;Silicon Motion;Technology;Semiconductors
SINT;SiNtx Technologies Inc. Common Stock;SiNtx Technologies;Health Care;Industrial Specialties
SIRE;Sisecam Resources LP Common Units representing limited partner interests;Sisecam Resources;Industrials;Specialty Chemicals
SIRI;Sirius XM Holdings Inc. Common Stock;Sirius XM;Consumer Discretionary;Movies/Entertainment
SISI;Shineco Inc. Common Stock;Shineco;;
SITC;SITE Centers Corp. Common Stock;SITE Centers;Real Estate;Real Estate Investment Trusts
SITE;SiteOne Landscape Supply Inc. Common Stock;SiteOne Landscape;;
SITM;SiTime Corporation Common Stock;SiTime;Technology;Semiconductors
SIX;Six Flags Entertainment Corporation New Common Stock;Six Flags;Consumer Discretionary;Movies/Entertainment
SJ;Scienjoy Holding Corporation Class A Ordinary Shares ;Scienjoy Holding;Technology;EDP Services
SJM;J.M. Smucker Company (The) New Common Stock;J\.M\. Smucker;Consumer Staples;Packaged Foods
SJM;J.M. Smucker Company (The) New Common Stock;JM Smucker;Consumer Staples;Packaged Foods
SJT;San Juan Basin Royalty Trust Common Stock;San Juan Basin;Energy;Oil & Gas Production
SJW;SJW Group Common Stock (DE);SJW;Utilities;Water Supply
SKE;Skeena Resources Limited Common Shares;Skeena Resources;;
SKGR;SK Growth Opportunities Corporation Class A Common Stock;SK Growth Opportunities;Finance;Blank Checks
SKGRW;SK Growth Opportunities Corporation Warrant;SK Growth Opportunities Warrant;Finance;Blank Checks
SKIL;Skillsoft Corp. Class A Common Stock;Skillsoft;Consumer Discretionary;Diversified Commercial Services
SKIN;The Beauty Health Company Class A Common Stock;The Beauty Health Company;Consumer Discretionary;Package Goods/Cosmetics
SKLZ;Skillz Inc. Class A Common Stock;Skillz;Technology;EDP Services
SKM;SK Telecom Co. Ltd. Common Stock;SK Telecom;Telecommunications;Telecommunications Equipment
SKT;Tanger Factory Outlet Centers Inc. Common Stock;Tanger Factory Outlet Centers;Real Estate;Real Estate Investment Trusts
SKWD;Skyward Specialty Insurance Group Inc. Common Stock;Skyward Specialty Insurance;Finance;Property-Casualty Insurers
SKX;Skechers U.S.A. Inc. Common Stock;Skechers;Consumer Discretionary;Shoe Manufacturing
SKY;Skyline Champion Corporation Common Stock;Skyline Champion;Consumer Discretionary;Homebuilding
SKYA;Skydeck Acquisition Corp. Class A Ordinary Shares;Skydeck Acquisition;Finance;Blank Checks
SKYAU;Skydeck Acquisition Corp. Units;Skydeck Acquisition Units;Finance;Blank Checks
SKYAW;Skydeck Acquisition Corp. Warrants;Skydeck Acquisition Warrants;Finance;Blank Checks
SKYH;Sky Harbour Group Corporation Class A Common Stock;Sky Harbour;Industrials;Military/Government/Technical
SKYT;SkyWater Technology Inc. Common Stock;SkyWater Technology;Technology;Semiconductors
SKYW;SkyWest Inc. Common Stock;SkyWest;Consumer Discretionary;Air Freight/Delivery Services
SKYX;SKYX Platforms Corp. Common Stock;SKYX Platforms;Technology;Electrical Products
SLAB;Silicon Laboratories Inc. Common Stock;Silicon Laboratories;Technology;Semiconductors
SLAC;Social Leverage Acquisition Corp I Class A Common Stock;Social Leverage Acquisition;Industrials;Consumer Electronics/Appliances
SLACU;Social Leverage Acquisition Corp I Units each consisting of one share of Class A common stock and one-fourth of one redeemable warrant;Social Leverage Acquisition Units;Industrials;Consumer Electronics/Appliances
SLACW;Social Leverage Acquisition Corp I Redeemable warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50;Social Leverage Acquisition Warrants;Industrials;Consumer Electronics/Appliances
SLAM;Slam Corp. Class A Ordinary Share;Slam Corp;Finance;Blank Checks
SLAMU;Slam Corp. Unit;Slam Corp Unit;Finance;Blank Checks
SLAMW;Slam Corp. warrant;Slam Corp warrant;Finance;Blank Checks
SLB;Schlumberger N.V. Common Stock;Schlumberger;Energy;Oilfield Services/Equipment
SLCA;U.S. Silica Holdings Inc. Common Stock;U\.S\. Silica Holdings;Industrials;Metal Fabrications
SLCA;U.S. Silica Holdings Inc. Common Stock;US Silica Holdings;Industrials;Metal Fabrications
SLDB;Solid Biosciences Inc. Common Stock;Solid Biosciences;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SLDP;Solid Power Inc. Class A Common Stock;Solid Power;Energy;Electrical Products
SLDPW;Solid Power Inc. Warrant;Solid Power Warrant;Energy;Electrical Products
SLF;Sun Life Financial Inc. Common Stock;Sun Life Financial;Consumer Discretionary;Advertising
SLG;SL Green Realty Corp Common Stock;SL Green Realty;Real Estate;Real Estate Investment Trusts
SLGC;SomaLogic Inc. Class A Common Stock;SomaLogic;Health Care;Biotechnology: Commercial Physical & Biological Resarch
SLGCW;SomaLogic Inc. Warrant;SomaLogic Warrant;Health Care;Biotechnology: Commercial Physical & Biological Resarch
SLGG;Super League Gaming Inc. Common Stock;Super League Gaming;Industrials;Industrial Machinery/Components
SLGL;Sol-Gel Technologies Ltd. Ordinary Shares;Sol-Gel Technologies;Health Care;Biotechnology: Pharmaceutical Preparations
SLGN;Silgan Holdings Inc. Common Stock;Silgan Holdings;Industrials;Containers/Packaging
SLI;Standard Lithium Ltd. Common Shares;Standard Lithium;;
SLM;SLM Corporation Common Stock;SLM Corporation;Finance;Finance: Consumer Services
SLMBP;SLM Corporation Floating Rate Non-Cumulative Preferred Stock Series B;SLM Corporation Preferred Stock;Finance;Finance: Consumer Services
SLN;Silence Therapeutics Plc American Depository Share;Silence Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
SLNA;Selina Hospitality PLC Ordinary Shares;Selina Hospitality;Finance;Blank Checks
SLNAW;Selina Hospitality PLC Warrant;Selina Hospitality Warrant;Finance;Blank Checks
SLND;Southland Holdings Inc. Common Stock;Southland Holdings;Industrials;Engineering & Construction
SLNG;Stabilis Solutions Inc. Common Stock;Stabilis Solutions;Utilities;Oil/Gas Transmission
SLNH;Soluna Holdings Inc. Common Stock;Soluna Holdings;Technology;EDP Services
SLNHP;Soluna Holdings Inc 9.0% Series A Cumulative Perpetual Preferred Stock ;Soluna Holdings Preferred Stock;Technology;EDP Services
SLNO;Soleno Therapeutics Inc. Common Stock;Soleno Therapeutics;Health Care;Biotechnology: Pharmaceutical Preparations
SLP;Simulations Plus Inc. Common Stock;Simulations Plus;Technology;Computer Software: Prepackaged Software
SLQT;SelectQuote Inc. Common Stock;SelectQuote;Finance;Specialty Insurers
SLRC;SLR Investment Corp. Common Stock;SLR Investment;Finance;Finance/Investors Services
SLRX;Salarius Pharmaceuticals Inc. Common Stock;Salarius Pharmaceuticals;Health Care;Biotechnology: Pharmaceutical Preparations
SLS;SELLAS Life Sciences Group Inc. Common Stock;SELLAS Life Sciences;Health Care;Biotechnology: Pharmaceutical Preparations
SLVM;Sylvamo Corporation Common Stock;Sylvamo Corporation;Consumer Staples;Paper
